,start station name,start station latitude,start station longitude
60777718,5 Ave & W 126 St,40.80722,-73.9418
30370786,5 Ave & W 131 St,40.81014,-73.93973
3291841,5 Corners Library,40.73496102000952,-74.0595030784607
46611265,5 St & 51 Ave,40.742373,-73.9566
12250716,5 St & 6 Ave,40.6704836,-73.98208968
2211851,5 St & Market St,40.6999974843885,-73.97440128028393
61335668,50 St & 30 Ave,40.760083,-73.907107
63963645,50 St & Northern Blvd,40.753441,-73.912402
52495424,51 St &  Hobart St,40.757764,-73.907654
42692746,51 St & Hobart St,40.757764,-73.907654
50387397,52 St & 1 Ave,40.649292,-74.020105
48156578,52 St & 6 Ave,40.642703,-74.009441
45917698,53 St & 2 Ave,40.64744,-74.018846
48880809,53 St & 4 Ave,40.644862,-74.014531
56454086,53 St & 5 Ave,40.643371,-74.011884
68353263,55 St & 5 Ave,40.642408,-74.013318
69001716,55 St & 7 Ave,40.639673,-74.008957
58403546,57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,40.646377,-74.023087
67701002,57 St & 4 Ave,40.642622,-74.016866
63777831,58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,40.644512,-74.021506
68867359,58 St & 32 Ave,40.75574,-73.903427
66331905,58 St & Pier 4,40.646475,-74.026081
124478,58th St Depot,40.71690978045965,-73.98383796215057
61664107,59 St & 4 Ave,40.641269,-74.017651
65791681,59 St & 5 Ave,40.640125,-74.015726
27927973,6 Ave & 12 St,40.6663181,-73.9854617
56320143,6 Ave & 21 St,40.66016,-73.990974
46544705,6 Ave & 55 St,40.640831,-74.010996
47724821,6 Ave & 60 St,40.638196,-74.013821
41277843,6 Ave & 9 St,40.668127,-73.98377641
2575744,6 Ave & Broome St,40.724308321602166,-74.00473035871983
44258985,6 Ave & Canal St,40.722437,-74.005664
1010869,6 Ave & Spring St,40.7252556952547,-74.00412082672119
44193446,6 Ave & W 33 St,40.749013,-73.988484
57284685,6 Ave & W 34 St,40.74964,-73.98805
40693225,6 Ave & W 45 St,40.756951,-73.982631
48514819,6 St & 7 Ave,40.668662,-73.97988
61881182,6 St & Grand St,40.744398,-74.034501
58364787,62 St & 4 Ave,40.639859,-74.019776
43523525,62 St & Northern Blvd,40.754176,-73.900318
66539148,63 St & 5 Ave,40.63766,-74.01782
67792164,64 St & 3 Ave,40.639978,-74.02324
46542858,65 St & 2 Ave,40.640493,-74.02564
58080666,67 St & Erik Pl,40.633385,-74.016562
62464299,67 St & Ridge Blvd,40.638799,-74.027472
52049944,7 Ave & 20 St,40.659053,-73.98854
47643324,7 Ave & 22 St,40.658029,-73.989605
54118358,7 Ave & 40 St,40.648169,-74.000057
61403749,7 Ave & 41 St,40.647379,-74.000911
32274870,7 Ave & Central Park South,40.7667405590595,-73.9790689945221
59751637,7 Ave & Park Pl,40.6776147,-73.97324283
60458657,7 St & 3 Ave,40.672603,-73.98983
684050,7 St & 5 Ave,40.6704922,-73.98541675
58483592,7 St & Monroe St,40.74641264837719,-74.03797701001167
67013214,76 St & 21 Ave,40.77028,-73.893675
44715193,8 Ave & W 16 St,40.740983,-74.001702
46303951,8 Ave & W 27 St,40.747968,-73.996637
28154988,8 Ave & W 31 St,40.7505853470215,-73.9946848154068
18905694,8 Ave & W 33 St,40.751551,-73.993934
49895666,8 Ave & W 38 St,40.75461,-73.99177
61166868,8 Ave & W 49 St,40.76171227910671,-73.98655101656914
56728259,8 Ave & W 52 St,40.76370739,-73.9851615
40579456,8 St & Astoria Blvd,40.7725996921817,-73.93266275525093
67298022,8 St & Washington St,40.74598388291562,-74.02819901704788
48201569,9 Ave & W 18 St,40.743174,-74.003664
45009270,9 Ave & W 206 St,40.863089,-73.917583
63219319,9 Ave & W 219 St,40.871094,-73.911503
44047908,9 Ave & W 22 St,40.745497,-74.001971
15651049,9 Ave & W 28 St,40.74937024193277,-73.99923384189606
13555369,9 Ave & W 45 St,40.76019252,-73.9912551
26465288,9 St & 44 Rd,40.74966,-73.9521
67272325,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209
63794222,Academy St & Nagle Ave,40.862562,-73.922661
43321121,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.953242
24614178,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475
59081086,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
38497940,Adam Clayton Powell Blvd & W 126 St,40.80949534777948,-73.94776493310928
38736012,Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168
34239461,Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521
49104963,Adam Clayton Powell Blvd & W 138 St,40.816959,-73.942295
32832170,Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057
61434971,Adam Clayton Powell Blvd & W 151 St,40.825289,-73.936232
69096688,Adams St & 11 St,40.750915534784994,-74.03354063630104
69079789,Adams St & 2 St,40.73981372311843,-74.03690412640572
55566756,Adams St & Prospect St,40.70076308326151,-73.98869812488556
36218042,Adelphi St & Myrtle Ave,40.69308257,-73.97178913
53952626,Albany Ave & Fulton St,40.6800105,-73.938475
68739654,Albany St & Greenwich St,40.709267,-74.013247
63269441,Albemarle Rd & McDonald Ave,40.645074,-73.979681
48219999,Alexander Ave & E 134 St,40.807466,-73.927107
29006372,Allen St & Hester St,40.71605866,-73.99190759
4192723,Allen St & Rivington St,40.72019576,-73.98997825
50553752,Allen St & Stanton St,40.722055,-73.989111
30824535,Amsterdam Ave & W 119 St,40.8086249,-73.9596214
29643832,Amsterdam Ave & W 125 St,40.813358,-73.956461
49309277,Amsterdam Ave & W 131 St,40.816355,-73.954295
66290705,Amsterdam Ave & W 136 St,40.819746,-73.951819
47572904,Amsterdam Ave & W 152 St,40.829523,-73.944279
53456669,Amsterdam Ave & W 156 St,40.832081,-73.942386
57378765,Amsterdam Ave & W 162 St,40.83618,-73.939789
67337347,Amsterdam Ave & W 167 St,40.839443,-73.937044
55075058,Amsterdam Ave & W 172 St,40.842173,-73.935111
66637900,Amsterdam Ave & W 175 St,40.844044,-73.933651
41836615,Amsterdam Ave & W 180 St,40.847396,-73.931205
38343839,Amsterdam Ave & W 183 St,40.84925,-73.93022
51859820,Amsterdam Ave & W 186 St,40.851113,-73.928808
57287866,Amsterdam Ave & W 189 St,40.853142,-73.927094
60795794,Amsterdam Ave & W 66 St,40.7746671,-73.98470567
42939563,Amsterdam Ave & W 73 St,40.779668,-73.98093
67651230,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
26433666,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
62219578,Anderson Ave & W 164 St,40.832057,-73.927421
47528261,Andrew Ave N & Hall of Fame Tce,40.85834,-73.91008
53559354,Andrews Ave S & W 179 St,40.855156,-73.91278
53317267,Anthony Ave & E 175 St,40.846465,-73.903869
59999774,Anthony Ave & E Burnside Ave,40.75118387463277,-73.97138714790344
53776965,Anthony Ave & E Tremont Ave,40.848793,-73.903178
52993368,Aqueduct Ave & North St,40.8604787,-73.9057169936
50478578,Aqueduct Ave & W 190 St,40.8649213,-73.9024238
60193543,Ashland Pl & Dekalb Ave,40.690065,-73.978776
33100848,Astor Place,40.71928220070702,-74.07126188278198
40624555,Astoria Park S & Shore Blvd,40.7767,-73.927631
11313945,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
68457179,Atlantic Ave & Furman St,40.69165183,-73.9999786
62453804,Audobon Ave & W 179 St,40.847305,-73.933291
61017536,Audubon Ave & Fort George Ave,40.85715781391904,-73.92717361450195
46469236,Audubon Ave & W 192 St,40.85564,-73.927128
60060046,Ave D & E 8 St,40.72368361,-73.97574813
21074441,Avenue C & E 18 St,40.730563,-73.973984
59918023,Avenue D & E 10 St,40.72506551015475,-73.97515833377838
24359309,Avenue D & E 12 St,40.72580614,-73.97422494
35556419,Avenue D & E 3 St,40.72082834,-73.97793172
23235091,Avenue D & E 8 St,40.72387,-73.975767
21225024,Avenue D & E 8 St (home location),40.72368361,-73.97574813
59516095,Bailey Ave & Sedgwick Ave,40.86571,-73.90857
53891439,Bailey Ave & W 193 St,40.87069,-73.90678
50981145,Bainbridge Ave & Bedford Park Blvd,40.87002,-73.88565
65871114,Bainbridge Ave & E 193 St,40.86389,-73.89246
63250291,Bainbridge Ave & E 196 St,40.86648,-73.89042
68322839,Bainbridge Ave & E 198 St,40.8684871,-73.8884559781
7042500,Baldwin at Montgomery,40.7236589,-74.0641943
26971438,Baltic St & 5 Ave,40.6795766,-73.97854971
5401880,Bank St & Hudson St,40.73652889,-74.00618026
24214870,Bank St & Washington St,40.7361967,-74.00859207
18386919,Banker St & Meserole Ave,40.72606,-73.95621
58235698,Barclay St & Church St,40.71291224,-74.01020234
7677316,Barrow St & Hudson St,40.73172428,-74.00674436
62318093,Barry St & Tiffany St,40.816126,-73.891559
20345543,Battery Pl & Greenwich St,40.70463,-74.01507
67772639,Bay St & Court St,40.671409,-74.001328
60685097,Bayard St & Baxter St,40.71602118,-73.99974372
53935864,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
30522679,Beaver St & Fayette St,40.70099,-73.93921
40783584,Beck St & Leggett Ave,40.815077,-73.899939
56937441,Bedford Ave & Bergen St,40.676368,-73.952918
68837135,Bedford Ave & Montgomery St,40.665816,-73.956934
60797423,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
7177200,Bedford Ave & S 9 St,40.70853074,-73.96408963
59582839,Bedford Park Blvd & Paul Ave,40.87444,-73.89186
39698442,Bergen Ave,40.722103786686034,-74.07145500183105
55107297,Bergen Ave & E 152 St,40.817166,-73.914737
61901519,Bergen Ave & Stegman St,40.70657545063453,-74.0867006778717
56968509,Bergen St & 4 Ave,40.68256425759694,-73.9798977971077
47138262,Bergen St & Flatbush Ave,40.680944,-73.975673
37697182,Bergen St & Smith St,40.6867443,-73.99063168
20901341,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
38870248,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
6463549,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629
3579778,Berry St & N 8 St,40.7190095,-73.95852515
48803258,Bialystoker Pl & Delancey St,40.716226,-73.982612
58380890,Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
42728590,Bleecker St & Lafayette St,40.726156,-73.995101
65005183,Bloomfield St & 15 St,40.75453,-74.02658
55615707,Boerum Pl	& Pacific St,40.688489,-73.99116
51504880,Boerum Pl\t& Pacific St,40.688489,-73.99116
66608113,Boerum St & Broadway,40.70538077,-73.94976519
66373939,Bond St & Bergen St,40.6849668,-73.98620772
11071680,Bond St & Fulton St,40.68962188790333,-73.98304268717766
49923772,Boone Ave & E 172 St,40.832649,-73.885272
46901856,Boston Rd & E 167 St,40.828199,-73.903719
63363287,Boston Rd & Prospect Ave,40.833246,-73.896599
51029332,Botanical Sq & Webster Ave,40.86814,-73.88145
34148339,Bradhurst Ave & W 148 St,40.825125,-73.941616
63053718,Bridge St & Water St,40.70296934155272,-73.98469090461731
57177994,Bridge St & York St,40.70133448066992,-73.98471236228943
9999021,Broad St & Bridge St,40.70365182,-74.01167797
68896195,Broad St & Water St,40.70293782409166,-74.01149354875088
67885058,Broadway	& W 48 St,40.760177,-73.984868
13292197,Broadway & 12 St,40.7668,-73.9347774
48556521,Broadway & 49 St,40.755389,-73.911517
63449289,Broadway & 51 St,40.754164,-73.908906
17894564,Broadway & Battery Pl,40.70463334,-74.01361706
9620419,Broadway & Berry St,40.71044554,-73.96525063
14091566,Broadway & E 14 St,40.73454567,-73.99074142
68958844,Broadway & E 21 St,40.73988840858996,-73.98958593606949
3161830,Broadway & E 22 St,40.7403432,-73.98955109
64529712,Broadway & Ellwood St,40.862058,-73.929719
45513442,Broadway & Furman Ave,40.68139,-73.90756
20209178,Broadway & Hancock St,40.68663,-73.9168
57426921,Broadway & Kosciuszko St,40.69329,-73.92852
67463705,Broadway & Madison St,40.68822,-73.91966
18606138,Broadway & Moylan Pl,40.8143256,-73.9590255
66789761,Broadway & Roebling St,40.70924826276157,-73.96063148975372
3248053,Broadway & W 122 St,40.8120562,-73.9612547
61209823,Broadway & W 131 St,40.817555,-73.957163
49955272,Broadway & W 133 St,40.8190344,-73.956156
53619783,Broadway & W 142 St,40.824686,-73.951947
59065967,Broadway & W 153 St,40.831327,-73.946665
63546580,Broadway & W 155 St,40.83299,-73.94592
32308096,Broadway & W 160 St,40.835775,-73.9434
67136719,Broadway & W 165 St,40.839137,-73.941409
66024507,Broadway & W 168 St,40.84089603193041,-73.93972098827362
47675627,Broadway & W 185 St,40.852538,-73.93441
50095129,Broadway & W 192 St,40.857994,-73.932173
57773423,Broadway & W 220 St,40.872412,-73.912807
10204161,Broadway & W 25 St,40.74286877312112,-73.98918628692627
27232748,Broadway & W 29 St,40.7462009,-73.98855723
611384,Broadway & W 32 St,40.74854862,-73.98808416
32821651,Broadway & W 36 St,40.75097711,-73.98765428
27489793,Broadway & W 37 St,40.75172632,-73.98753523
18932007,Broadway & W 38 St,40.75299641,-73.98721619
64914413,Broadway & W 41 St,40.75513557,-73.98658032
29999599,Broadway & W 49 St,40.76068327096592,-73.9845272898674
6875378,Broadway & W 51 St,40.76228826,-73.98336183
63678293,Broadway & W 53 St,40.76344058,-73.98268129
36566344,Broadway & W 56 St,40.7652654,-73.98192338
66198345,Broadway & W 58 St,40.76695317,-73.98169333
9918928,Broadway & W 60 St,40.76915505,-73.98191841
69026042,Broadway & W 61 St,40.77003010255044,-73.9819684624672
2086445,Broadway & Whipple St,40.7016657,-73.9437303
68215016,Broadway\t& W 48 St,40.76017739537783,-73.98486793041229
47623134,Bronx Shore Comfort Station,40.80046,-73.92404
54168767,Brook Ave & E 138 St,40.807408,-73.91924
28451648,Brook Ave & E 141 St,40.809619,-73.917875
55207841,Brook Ave & E 148 St,40.814383,-73.915368
54716077,Brook Ave & E 157 St,40.820713,-73.911759
11117743,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178
49055752,Bruckner Blvd & Bryant Ave,40.821952,-73.888546
9218084,Brunswick & 6th,40.72601172964625,-74.05038893222809
65020548,Brunswick St,40.7241765,-74.0506564
62633833,Buchanan Pl & Grand Ave,40.85834,-73.90626
62477339,Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534
7910860,Bus Slip & State St,40.701907,-74.013942
17777178,Bushwick Ave & Dekalb Ave,40.69502,-73.92825
